JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Staff Accountant,Dyon Management,"Charlotte, NC",30+ days ago,2021-02-02,"Advanced knowledge of generally accepted accounting principles. Perform account reconciliations, account analysis, accrual calculations, and other related…","$65,000 - $85,000 a year",https://www.indeed.com/company/Dyon-Management/jobs/Senior-Staff-Accountant-b649cef1dae86f23?fccid=57d07b4c3a9e9eaa&vjs=3
Senior Accountant,Corvid Technologies LLC,"Mooresville, NC",30+ days ago,2021-02-02,You’ll be involved in everything from providing your thoughts on business strategy to organizing contract files and journal entries. 2-5 years of experience.,,https://www.indeed.com/company/Corvid-Technologies-LLC/jobs/Senior-Accountant-328e4375ec563b1e?fccid=780519d39208c68a&vjs=3
Senior Accountant,Wilbert Plastic Services,"Belmont, NC",30+ days ago,2021-02-02,Prepares and performs various journal entries and assists Controller with close process. Assists in general ledger operations and preparation of monthly…,"$75,000 - $80,000 a year",https://www.indeed.com/company/Wilbert-Plastic-Services/jobs/Senior-Accountant-e6f14bd0669fc4ca?fccid=aee165d5dedb72af&vjs=3
Senior Accountant,"Nederman Holding USA, Inc","Charlotte, NC",30+ days ago,2021-02-02,3-5 years of public accounting experience in a large firm. Guide junior accountants and other team members by answering questions and coordinating information…,,https://www.indeed.com/rc/clk?jk=c85070548692e5ea&fccid=8e4e18718d3c59b3&vjs=3
Senior Benefits Accountant,Kindred At Home,"Mooresville, NC",17 days ago,2021-02-02,"Targeted personal and career development planning. Our team delivers compassionate, high-quality care to patients in their homes or places of residence,…",,https://www.indeed.com/rc/clk?jk=4da24ccdf507bd54&fccid=8b58f624dd8a5548&vjs=3
Sr. Accountant,Kryo,"Mooresville, NC",10 days ago,2021-02-02,"This role is responsible for developing and supporting critical pieces of our reporting infrastructure, including internal and external reporting, accounting,…",,https://www.indeed.com/rc/clk?jk=2a3656d6fe7eddbc&fccid=9309c35c2e7bbd1d&vjs=3
Senior Accountant,"Rink & Robinson, PLLC","Charlotte, NC",30+ days ago,2021-02-02,"Proven work experience as a senior-level Tax Accountant. Small, Mid-size or large firm experience a plus. Certified Public Accounting and Consultants.",,"https://www.indeed.com/company/Rink-&-Robinson,-PLLC/jobs/Senior-Accountant-3d3ebbaf56b6a08c?fccid=489a5c4c2cf17473&vjs=3"
Sr. Cost Accountant,SSG,"Charlotte, NC",30+ days ago,2021-02-02,The position provides recommendations to senior management in support of the achievement of Company goals. Perform month end close activities related to cost…,"$70,000 - $90,000 a year",https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Cost-Accountant-b3d256e577705362?fccid=3cd66e9f50f66a25&vjs=3
Sr. Accountant,Caesarstone,"Charlotte, NC",30+ days ago,2021-02-02,Develops and implements accounting policies procedures and consistently looks for ways to streamline current processes to optimize performance.,,https://www.indeed.com/rc/clk?jk=837f770b78e59704&fccid=92b1e2cc8b2c3a06&vjs=3
Senior Internal Auditor,SSG,"Charlotte, NC",6 days ago,2021-02-02,"Some experience planning and executing audits. In addition, the successful candidate will have a strong work ethic and unquestionable integrity, possess…","$80,000 - $100,000 a year",https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Internal-Auditor-5e947f5f34483f0f?fccid=3cd66e9f50f66a25&vjs=3
Sr. Internal Auditor,Krispy Kreme,"Charlotte, NC",30+ days ago,2021-02-02,Willingness to maintain knowledge of current accounting and auditing practices through continuing professional education.,,https://www.indeed.com/rc/clk?jk=854d8ab5ea6e126b&fccid=c35e48a915599698&vjs=3
Senior Audit Associate,"RICHEY MAY & CO., LLP","Matthews, NC",30+ days ago,2021-02-02,"Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.","$62,000 - $94,000 a year",https://www.indeed.com/rc/clk?jk=262acd8846b1417d&fccid=3bced6649a7d3fd3&vjs=3
Audit Senior Associate,DHG,"Charlotte, NC",30+ days ago,2021-02-02,"Serves the needs of the client by planning and performing audits, reviews, compilations, in addition to any other related client needs.",,https://www.indeed.com/rc/clk?jk=cbfdbbcb455041b5&fccid=f651eb7f63c0e2cf&vjs=3
Senior Tax Accountant - CPA,Jonathan White CPA,"Matthews, NC",30+ days ago,2021-02-02,"As part of the JWW accounting team, you will plan, prepare and review high-end business and individual tax returns, engage in complex tax research and strategic…",,https://www.indeed.com/rc/clk?jk=6031bccb135cd37a&fccid=9e7f811726b1fa92&vjs=3
Audit Senior - Charlotte,Cherry Bekaert LLP,"Charlotte, NC",30+ days ago,2021-02-02,Dialogue over engagement efficiencies and client specific risks. You will develop audit approach to be used by the engagement teams.,,https://www.indeed.com/rc/clk?jk=8082967abaf4516a&fccid=3ff4bafda5d00b97&vjs=3
Senior Assurance Associate,"GreerWalker, LLP","Charlotte, NC",30+ days ago,2021-02-02,Minimum of three years of experience as a staff accountant. Technical knowledge sufficient to supervise staff accountant as well as review their work.,,https://www.indeed.com/rc/clk?jk=2f08287981010dc9&fccid=3c9696c129c591c6&vjs=3
"Senior Analyst, Domestic Tax, Federal Focus",Ingersoll Rand,"Davidson, NC",30+ days ago,2021-02-02,3+ years of tax experience in a medium to large organization or CPA firm. The role will have a federal focus. Prepare federal fixed asset data.,,https://www.indeed.com/rc/clk?jk=40fe841edcb97d4d&fccid=2e3453ae2db0c66d&vjs=3
Sr. Tax Analyst - International,Electrolux,"Charlotte, NC",26 days ago,2021-02-02,"Possible areas of responsibility include, but are not limited to: data input; analysis and processing information into corporate reporting system and tax…",,https://www.indeed.com/company/Electrolux/jobs/Senior-Tax-Analyst-91ce8512ea0bac23?fccid=3a6b309410a33a62&vjs=3
Senior Audit Manager,Rives & Associates,"Charlotte, NC",30+ days ago,2021-02-02,BS/BA in Accounting (Masters in Accounting/Tax preferred). 10 plus years’ experience in Public Accounting. Experience managing multiple audit jobs.,,https://www.indeed.com/rc/clk?jk=af666a8ac53165d6&fccid=4341dbb9ab97d283&vjs=3
Senior Tax Associate,"GreerWalker, LLP","Charlotte, NC",30+ days ago,2021-02-02,"Participate in client meetings and serve as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and…",,https://www.indeed.com/rc/clk?jk=771e8edfdedc4c86&fccid=3c9696c129c591c6&vjs=3
