JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
"Sr. Fraud Auditor - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",13 days ago,2021-02-02,"Some experience planning and executing audits. Fraud / forensic accounting experience in Big 4 or consulting firm, or in large multi-national audit/risk…",,https://www.indeed.com/rc/clk?jk=9b04381b8e56b03d&fccid=bb44f58e3327622b&vjs=3
Sr Tax Accountant - Audit,Spectrum,"Charlotte, NC",30+ days ago,2021-02-02,"Responsible for supporting audits, planning and controls by scheduling, monitoring and presenting data under the direction and supervision of the Audit Director…",,https://www.indeed.com/rc/clk?jk=7ad078f48a08afa7&fccid=c2d1b0769a534b4d&vjs=3
Sr Tax Analyst,Honeywell,"Charlotte, NC",4 days ago,2021-02-02,"The Senior Tax Analyst / Accountant, coming from a Big 4 firm will provide support for tax compliance, reporting, and will assist with tax examinations by…",,https://www.indeed.com/rc/clk?jk=9be4e8b66384ea00&fccid=50208b5bf45ee3b8&vjs=3
Tax Senior Associate,Dixon Hughes Goodman,"Charlotte, NC",27 days ago,2021-02-02,Keep informed of current tax developments and effectively apply tax knowledge/research to a specific client’s situations.,,https://www.indeed.com/rc/clk?jk=1350099548a9665c&fccid=8f2022a14c83ea0a&vjs=3
"Sr Manager, Internal Audit","Celgard, LLC","Charlotte, NC",5 days ago,2021-02-02,The Senior Manager Internal Audit reports to the Compliance Officer of Polypore and the General Manager – Internal Audit of Asahi Kasei.,,https://www.indeed.com/rc/clk?jk=7fc4b7b0f763afe0&fccid=2766d6b42f2003bd&vjs=3
Professional Practices Group (PPG) Senior- Assurance & Advisory Services,Elliott Davis,"Charlotte, NC",6 days ago,2021-02-02,Assist in developing firm requirements and ensure that the Quality Control Program provides associates with professional development activities in accordance…,,https://www.indeed.com/rc/clk?jk=0da32b8d3ca1f0c8&fccid=a3b99287cfeec2b7&vjs=3
Senior Internal Auditor,"Dole Food Company, Inc.","Charlotte, NC",30+ days ago,2021-02-02,Lead and perform multiple tasks on assurance and advisory engagements from planning through fieldwork and reporting in conformance with The IIA’s International…,,https://www.indeed.com/rc/clk?jk=15a417719748e01d&fccid=d4de824a81e1f876&vjs=3
Tax-Senior-Financial Services- SALT IF,Ernst & Young,"Charlotte, NC",4 days ago,2021-02-02,"Excellent collaboration and negotiation skills, and the confidence to challenge senior colleagues and stakeholders from a diverse range of backgrounds.",,https://www.indeed.com/rc/clk?jk=28c460f7d347fd2b&fccid=1544766d4c2915b0&vjs=3
Mergers & Acquisitions Tax Senior,Elliott Davis,"Charlotte, NC",19 days ago,2021-02-02,"A minimum of 1 year of relevant tax experience in the M&A/transaction services space (i.e., M&A tax due diligence, deal structuring, and post-acquisition…",,https://www.indeed.com/rc/clk?jk=f24e425b3b1bb9a7&fccid=a3b99287cfeec2b7&vjs=3
"Sr. Audit Manager, Professional Practices",AIG,"Charlotte, NC",26 days ago,2021-02-02,"Support various projects throughout the year (e.g., risk assessment and planning). You will report to our Professional Practices Lead and assist in maintaining…",,https://www.indeed.com/rc/clk?jk=dfadb327b3dfd7c8&fccid=9a92a4bf81326e1e&vjs=3
AUDIT SENIOR ASSOCIATE,GRANT THORNTON,"Charlotte, NC",24 days ago,2021-02-02,"Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",,https://www.indeed.com/rc/clk?jk=e0965fe58579a3e1&fccid=7ac82fceed64aa81&vjs=3
Senior Auditor - Commercial and Corporate & Investment Banking,Wells Fargo,"Charlotte, NC",30+ days ago,2021-02-02,Experience at a financial institution or accounting firm. Identifies and assesses key risks and controls and develops effective test plans for engagements as…,,https://www.indeed.com/rc/clk?jk=a508318ce4faca87&fccid=78bbcd26e39621f5&vjs=3
Senior - Multistate Tax - Property Tax,Deloitte,"Charlotte, NC",30+ days ago,2021-02-02,"As a Property Tax Senior Consultant within the Multistate Tax Services group, you will be a valuable member on tax engagements and provide state and local…",,https://www.indeed.com/rc/clk?jk=74f912d801e59ca4&fccid=9e215d88a6b33622&vjs=3
Senior Accountant - Global Services,CliftonLarsonAllen,"Charlotte, NC",30+ days ago,2021-02-02,"3+ years relative work experience as a staff or senior accountant or equivalent. As part of CLA’s BizOps practice, you will be a member of the CLA Global…",,https://www.indeed.com/rc/clk?jk=1e6af43af485c3a1&fccid=48d824a044be0992&vjs=3
Senior Auditor Transformation and Strategic Initiatives - Assistant Vice President,"Mufg Union Bank, National Association","Charlotte, NC",30+ days ago,2021-02-02,"This role includes, but is not limited to, execution of end-to-end audit process (e.g. planning, fieldwork testing, reporting, issues validation, etc.).",,https://www.indeed.com/rc/clk?jk=2377cd72bdd9328c&fccid=7c5ed1a6daea4780&vjs=3
Experienced Audit Senior,BDO,"Charlotte, NC",30+ days ago,2021-02-02,"The Experienced Audit Senior will be responsible for coordinating the day-to-day ""in-charge"" duties of planning, fieldwork and ""wrap-up"" to include the…",,https://www.indeed.com/rc/clk?jk=012ead865a5ae3c6&fccid=3639654bd4055c70&vjs=3
Sr Internal Finance Auditor,Honeywell,"Charlotte, NC",18 days ago,2021-02-02,"Some experience planning and executing audits in global environments. You will partner with Business Leadership, Controllership, Finance Operations and External…",,https://www.indeed.com/rc/clk?jk=d9d3be0d918d7285&fccid=50208b5bf45ee3b8&vjs=3
Tax Senior Associate - Credits & Incentives/R&D,RSM US LLP,"Charlotte, NC",30+ days ago,2021-02-02,"Perform tax planning and research, resolving complex tax issues, and giving recommendations to clients, as it relates specifically to the R&D credit.",,https://www.indeed.com/rc/clk?jk=7a2c77260565b750&fccid=198b7374e1f8a26f&vjs=3
HRS Sr Payroll Tax Analyst,Trane Technologies,"Davidson, NC",2 days ago,2021-02-02,"Ensure compliance with company policies, enforce approved pay practices, ensure compliance both at the state or federal levels as well as with government…",,https://www.indeed.com/rc/clk?jk=eb178573a8eb0d2a&fccid=64739a8388b4fcb0&vjs=3
Tax Services Senior - National Tax - Indirect Tax - Unclaimed Property Services,Ernst & Young,"Charlotte, NC",11 days ago,2021-02-02,"Staying informed of current technical developments and effectively apply knowledge to client situations. You'll help us provide effective processes, improve day…",,https://www.indeed.com/rc/clk?jk=614be6c2b35182a9&fccid=1544766d4c2915b0&vjs=3
